time,system_demand,demand_7da,temp
2023-01-19 22:00:00,25400.0,25059.0,49.46
2023-01-19 23:00:00,23912.0,23621.27,48.61
2023-01-20 00:00:00,23155.0,21926.56,47.82
2023-01-20 01:00:00,22759.0,21210.55,47.5
2023-01-20 02:00:00,22713.0,20780.97,47.14
2023-01-20 03:00:00,22593.0,20703.57,46.56
2023-01-20 04:00:00,23068.0,21267.58,45.9
2023-01-20 05:00:00,24622.0,22629.89,45.25
2023-01-20 06:00:00,26587.0,24797.44,44.49
2023-01-20 07:00:00,27511.0,25712.61,44.2
2023-01-20 08:00:00,26787.0,25016.93,46.67
2023-01-20 09:00:00,25376.0,23774.84,50.92
2023-01-20 10:00:00,24081.0,22590.78,54.48
2023-01-20 11:00:00,23338.0,21635.71,57.7
2023-01-20 12:00:00,22810.0,21077.66,58.87
2023-01-20 13:00:00,22150.0,21252.97,60.13
2023-01-20 14:00:00,22022.0,21790.03,60.57
2023-01-20 15:00:00,23332.0,22739.81,60.73
2023-01-20 16:00:00,25339.0,24664.4,59.54
2023-01-20 17:00:00,27420.0,27160.68,56.73
2023-01-20 18:00:00,27803.0,27573.49,53.87
2023-01-20 19:00:00,27443.0,26971.49,52.14
2023-01-20 20:00:00,26970.0,26236.44,50.88
2023-01-20 21:00:00,26355.0,25469.25,49.91
2023-01-20 22:00:00,25483.0,24259.81,48.87
2023-01-20 23:00:00,24356.0,22933.74,48.72
2023-01-21 00:00:00,23371.0,21919.88,48.34
2023-01-21 01:00:00,22673.0,21140.04,48.07
2023-01-21 02:00:00,22085.0,20624.29,47.8
2023-01-21 03:00:00,21957.0,20388.04,47.34
2023-01-21 04:00:00,22294.0,20572.5,46.89
2023-01-21 05:00:00,22927.0,21170.11,46.27
2023-01-21 06:00:00,23743.0,22141.89,46.27
2023-01-21 07:00:00,24342.0,22291.31,46.47
2023-01-21 08:00:00,24191.0,21464.54,48.63
2023-01-21 09:00:00,22748.0,20280.94,52.36
2023-01-21 10:00:00,21536.0,19070.47,57.02
2023-01-21 11:00:00,20367.0,18035.05,60.46
2023-01-21 12:00:00,19773.0,17655.09,62.26
2023-01-21 13:00:00,19507.0,17900.5,63.43
2023-01-21 14:00:00,19899.0,18704.7,64.0
2023-01-21 15:00:00,21095.0,19957.87,63.14
2023-01-21 16:00:00,23223.0,22294.86,61.86
2023-01-21 17:00:00,25585.0,25067.59,58.78
2023-01-21 18:00:00,26222.0,25805.58,55.06
2023-01-21 19:00:00,25835.0,25364.6,53.31
2023-01-21 20:00:00,25494.0,24706.64,52.11
2023-01-21 21:00:00,25020.0,24117.87,52.16
2023-01-21 22:00:00,24388.0,23109.63,51.37
2023-01-21 23:00:00,23448.0,21993.99,50.54
2023-01-22 00:00:00,22621.0,21779.83,50.68
2023-01-22 01:00:00,21860.0,21056.74,50.0
2023-01-22 02:00:00,21511.0,20558.86,48.96
2023-01-22 03:00:00,21390.0,20330.04,49.84
2023-01-22 04:00:00,21568.0,20424.01,50.25
2023-01-22 05:00:00,22133.0,20834.02,49.71
2023-01-22 06:00:00,22821.0,21587.63,47.53
2023-01-22 07:00:00,22998.0,21661.61,47.14
2023-01-22 08:00:00,22431.0,20947.17,48.81
2023-01-22 09:00:00,21611.0,19947.01,52.34
